,ProdTaken,PreferredLoginDevice,CityTier,Occupation,Gender,ProductPitched,PreferredPropertyStar,MaritalStatus,Passport,OwnCar,Designation,Age,DurationOfPitch,NumberOfPersonVisited,NumberOfFollowups,NumberOfTrips,PitchSatisfactionScore,NumberOfChildrenVisited,MonthlyIncome
34,Yes,Self Enquiry,Tier-1,Small Business,Male,Multi,3 Star,Divorced,Yes,Yes,Executive,24.0,6.0,3.0,3.0,3.0,3.0,2.0,17293.0
35,No,Self Enquiry,Tier-1,Small Business,Female,Multi,3 Star,Married,No,No,Executive,43.0,8.0,3.0,2.0,2.0,2.0,1.0,17645.0
36,Yes,Self Enquiry,Tier-3,Small Business,Male,Multi,3 Star,Divorced,Yes,No,Executive,50.0,9.0,2.0,4.0,2.0,4.0,0.0,17683.0
37,No,Self Enquiry,Tier-3,Small Business,Female,Multi,3 Star,Divorced,No,Yes,Executive,35.0,8.0,3.0,3.0,2.0,2.0,0.0,17014.0
38,No,Self Enquiry,Tier-1,Salaried,Female,Multi,3 Star,Divorced,Yes,Yes,Executive,36.0,11.0,2.0,4.0,1.0,2.0,0.0,95000.0
39,No,Company Invited,Tier-3,Salaried,Female,Super Deluxe,5 Star,Divorced,No,Yes,Manager,33.0,6.0,2.0,2.0,3.0,3.0,0.0,20376.0
40,No,Self Enquiry,Tier-1,Salaried,Male,Multi,3 Star,Married,No,No,Executive,35.0,10.0,3.0,3.0,2.0,4.0,0.0,16951.0
41,No,Self Enquiry,Tier-1,Salaried,Female,Multi,5 Star,Married,No,No,Executive,27.0,8.0,2.0,3.0,2.0,3.0,1.0,17341.0
42,Yes,Self Enquiry,Tier-1,Salaried,Male,Multi,3 Star,Single,No,Yes,Executive,26.0,31.0,2.0,5.0,2.0,2.0,1.0,17293.0
43,No,Company Invited,Tier-3,Salaried,Male,Standard,3 Star,Unmarried,No,Yes,Senior Manager,27.0,14.0,2.0,3.0,2.0,2.0,0.0,23726.0
44,No,Company Invited,Tier-1,Small Business,Female,Super Deluxe,3 Star,Single,No,Yes,Manager,36.70041821305445,6.0,2.0,3.0,2.0,3.0,0.0,20791.44362472839
45,Yes,Self Enquiry,Tier-1,Large Business,Female,King,3 Star,Divorced,No,Yes,VP,41.0,18.0,2.0,3.0,2.0,4.0,0.0,34545.0
46,No,Company Invited,Tier-3,Small Business,Male,Super Deluxe,3 Star,Single,No,Yes,Manager,34.0,14.609405904733478,3.0,3.0,1.0,5.0,1.0,19568.0
47,No,Self Enquiry,Tier-1,Salaried,Male,Multi,4 Star,Divorced,No,Yes,Executive,37.0,25.0,3.0,3.0,5.0,4.0,1.0,18022.0
48,No,Company Invited,Tier-3,Small Business,Male,Super Deluxe,3 Star,Single,Yes,Yes,Manager,46.0,11.0,3.0,3.0,5.0,5.0,1.0,20772.0
49,No,Self Enquiry,Tier-1,Salaried,Male,Multi,3 Star,Divorced,No,Yes,Executive,35.0,14.0,2.0,2.0,2.0,5.0,1.0,17269.0
50,Yes,Self Enquiry,Tier-1,Salaried,Male,Standard,3 Star,Single,Yes,No,Senior Manager,48.0,6.0,3.0,4.0,1.0,5.0,2.0,20381.0
51,Yes,Self Enquiry,Tier-1,Large Business,Male,Multi,3 Star,Single,Yes,Yes,Executive,34.57033494226319,11.0,2.0,3.0,2.0,2.0,0.0,18441.0
52,No,Self Enquiry,Tier-3,Small Business,Female,Super Deluxe,5 Star,Married,Yes,No,Manager,44.0,6.0,3.0,3.0,6.0,2.0,0.0,20454.0
53,No,Company Invited,Tier-1,Small Business,Male,Standard,5 Star,Divorced,Yes,Yes,Senior Manager,35.0,17.0,3.0,4.0,3.0,5.0,1.0,24884.0
54,No,Self Enquiry,Tier-3,Small Business,Female,Super Deluxe,3 Star,Divorced,Yes,Yes,Manager,34.998650014431846,29.0,2.0,4.0,1.0,2.0,0.0,20391.79556042835
55,No,Company Invited,Tier-1,Salaried,Female,Standard,3 Star,Unmarried,Yes,Yes,Senior Manager,33.0,6.0,3.0,3.0,2.0,2.0,0.0,28458.0
56,No,Company Invited,Tier-3,Salaried,Male,Standard,5 Star,Divorced,No,Yes,Senior Manager,35.0,24.0,3.0,3.0,2.0,4.0,0.0,24069.0
57,No,Self Enquiry,Tier-1,Small Business,Female,Multi,5 Star,Divorced,Yes,Yes,Executive,38.62841107415905,29.0,1.0,3.0,4.0,4.0,0.0,21102.308164520917
58,No,Self Enquiry,Tier-1,Salaried,Male,Super Deluxe,3 Star,Married,No,Yes,Manager,31.0,13.0,2.0,3.0,4.0,3.0,0.0,20915.0
59,No,Self Enquiry,Tier-1,Salaried,Male,Super Deluxe,3 Star,Married,No,Yes,Manager,37.0,6.0,2.0,4.0,2.0,5.0,1.0,20993.0
60,No,Self Enquiry,Tier-1,Small Business,Male,Super Deluxe,3 Star,Divorced,Yes,Yes,Manager,32.0,6.0,2.0,3.0,2.0,4.0,0.0,21162.0
61,No,Company Invited,Tier-1,Salaried,Female,Super Deluxe,3 Star,Single,No,Yes,Manager,38.0,35.0,2.0,3.0,2.0,3.0,0.0,17406.0
62,No,Self Enquiry,Tier-1,Small Business,Female,King,3 Star,Married,Yes,Yes,VP,50.0,13.0,2.0,4.0,6.0,4.0,1.0,33740.0
63,No,Self Enquiry,Tier-3,Salaried,Female,Standard,5 Star,Unmarried,No,Yes,Senior Manager,59.0,31.0,2.0,3.0,1.0,3.0,0.0,22637.0
64,No,Self Enquiry,Tier-1,Large Business,Female,Standard,3 Star,Married,No,Yes,Senior Manager,36.0,14.0,2.0,3.0,2.0,4.0,1.0,25096.0
65,No,Self Enquiry,Tier-1,Small Business,Female,Deluxe,3 Star,Married,Yes,No,AVP,55.0,14.0,2.0,3.0,3.0,3.0,1.0,29756.0
66,No,Company Invited,Tier-1,Salaried,Male,Super Deluxe,4 Star,Unmarried,No,Yes,Manager,36.0,17.0,3.0,4.0,2.0,4.0,1.0,21499.0
67,No,Self Enquiry,Tier-1,Salaried,Male,Standard,5 Star,Married,No,Yes,Senior Manager,45.0,13.0,2.0,3.0,3.0,3.0,1.0,24724.0
68,No,Company Invited,Tier-1,Small Business,Male,Multi,5 Star,Divorced,No,No,Executive,35.0,6.0,3.0,3.0,5.0,2.0,1.0,17194.0
69,Yes,Self Enquiry,Tier-1,Small Business,Male,Multi,3 Star,Divorced,Yes,No,Executive,32.56744136727086,15.0,3.0,4.0,1.0,2.0,1.0,18388.0
70,No,Company Invited,Tier-3,Salaried,Female,Super Deluxe,3 Star,Single,No,Yes,Manager,59.0,6.0,2.0,4.0,1.0,5.0,1.0,20473.0
71,No,Self Enquiry,Tier-1,Salaried,Male,Multi,4 Star,Divorced,No,No,Executive,29.0,8.0,3.0,3.0,1.0,4.0,0.0,17703.0
72,No,Self Enquiry,Tier-1,Small Business,Male,Multi,4 Star,Single,No,No,Executive,31.0,6.0,2.0,3.0,2.0,3.0,0.0,17501.0
73,No,Self Enquiry,Tier-1,Salaried,Male,Super Deluxe,4 Star,Divorced,No,No,Manager,32.0,6.0,3.0,3.0,2.0,3.0,0.0,21220.0
74,No,Self Enquiry,Tier-1,Salaried,Female,Super Deluxe,3 Star,Divorced,No,No,Manager,36.0,12.0,2.0,2.0,4.0,2.0,0.0,18038.0
75,No,Self Enquiry,Tier-1,Salaried,Female,Super Deluxe,3 Star,Single,No,No,Manager,31.0,14.608157331982582,3.0,3.0,2.0,5.0,1.0,19915.649652393884
76,No,Self Enquiry,Tier-3,Small Business,Male,Super Deluxe,5 Star,Single,No,No,Manager,35.0,14.56744014956324,2.0,4.0,1.0,2.0,1.0,20960.06725048856
77,No,Self Enquiry,Tier-1,Salaried,Male,Standard,5 Star,Divorced,Yes,No,Senior Manager,45.0,12.0,2.0,3.0,5.0,3.0,0.0,28245.0
78,No,Self Enquiry,Tier-1,Small Business,Male,Standard,3 Star,Single,No,No,Senior Manager,37.0,13.0,1.0,3.0,5.0,2.0,0.0,28664.0
79,No,Self Enquiry,Tier-2,Small Business,Male,Super Deluxe,4 Star,Married,Yes,No,Manager,46.0,11.0,3.0,3.0,1.0,5.0,1.0,20021.0
80,No,Self Enquiry,Tier-1,Salaried,Male,Super Deluxe,3 Star,Divorced,Yes,Yes,Manager,30.0,6.0,2.0,4.0,2.0,2.0,1.0,20126.0
81,No,Self Enquiry,Tier-1,Small Business,Male,Multi,3 Star,Single,No,Yes,Executive,35.0,6.0,1.0,4.0,2.0,4.0,0.0,17859.0
82,No,Self Enquiry,Tier-3,Salaried,Male,Standard,3 Star,Divorced,No,No,Senior Manager,55.0,6.0,3.0,3.0,4.0,2.0,1.0,25239.0
83,No,Company Invited,Tier-1,Small Business,Female,Super Deluxe,3 Star,Married,Yes,No,Manager,38.0,12.0,3.0,5.0,1.0,2.0,2.0,20329.0
84,No,Self Enquiry,Tier-1,Small Business,Male,Super Deluxe,4 Star,Divorced,No,No,Manager,34.0,14.596495111073367,3.0,3.0,2.0,5.0,0.0,20308.113055520836
85,No,Self Enquiry,Tier-1,Salaried,Male,Standard,3 Star,Unmarried,No,No,Senior Manager,56.0,13.0,2.0,5.0,5.0,2.0,0.0,22260.0
86,No,Self Enquiry,Tier-3,Large Business,Male,Multi,5 Star,Married,No,Yes,Executive,23.0,8.0,3.0,3.0,4.0,3.0,1.0,17322.0
87,No,Self Enquiry,Tier-1,Salaried,Male,Multi,3 Star,Divorced,No,Yes,Executive,51.0,15.0,3.0,3.0,4.0,3.0,0.0,17075.0
88,No,Self Enquiry,Tier-1,Salaried,Male,Super Deluxe,3 Star,Divorced,No,Yes,Manager,36.56439671061939,8.0,2.0,4.0,2.0,4.0,0.0,21229.811712684517
89,Yes,Self Enquiry,Tier-3,Small Business,Male,Standard,3 Star,Unmarried,No,No,Senior Manager,46.0,15.0,3.0,4.0,2.0,5.0,1.0,24619.0
90,No,Company Invited,Tier-1,Salaried,Male,Deluxe,4 Star,Divorced,No,Yes,AVP,40.0,6.0,3.0,4.0,2.0,2.0,2.0,28503.0
91,No,Self Enquiry,Tier-3,Small Business,Male,Super Deluxe,3 Star,Single,Yes,Yes,Manager,51.0,27.0,3.0,3.0,1.0,5.0,1.0,20441.0
92,No,Self Enquiry,Tier-3,Small Business,Female,Super Deluxe,4 Star,Married,Yes,Yes,Manager,30.0,10.0,3.0,4.0,2.0,3.0,1.0,20209.0
93,No,Company Invited,Tier-1,Small Business,Male,Standard,5 Star,Divorced,Yes,Yes,Senior Manager,46.0,6.0,2.0,4.0,3.0,2.0,1.0,25673.0
94,No,Self Enquiry,Tier-3,Small Business,Male,Super Deluxe,3 Star,Single,No,Yes,Manager,32.0,12.0,2.0,3.0,2.0,5.0,0.0,20010.0
95,No,Self Enquiry,Tier-1,Large Business,Female,Standard,3 Star,Divorced,No,Yes,Senior Manager,54.0,8.0,2.0,3.0,1.0,4.0,0.0,28549.0
96,No,Self Enquiry,Tier-3,Salaried,Female,Super Deluxe,3 Star,Divorced,No,Yes,Manager,24.0,9.0,2.0,3.0,1.0,4.0,0.0,19999.0
97,No,Company Invited,Tier-3,Small Business,Male,Super Deluxe,3 Star,Divorced,No,Yes,Manager,36.51671527587443,10.0,2.0,3.0,2.0,2.0,0.0,20642.896321149397
98,No,Self Enquiry,Tier-3,Small Business,Male,Deluxe,3 Star,Single,No,Yes,AVP,58.0,16.0,2.0,3.0,1.0,3.0,1.0,28872.0
99,No,Company Invited,Tier-1,Small Business,Male,Super Deluxe,4 Star,Divorced,No,Yes,Manager,44.0,29.0,3.0,3.0,5.0,3.0,0.0,17042.0
100,Yes,Self Enquiry,Tier-2,Salaried,Male,Multi,5 Star,Married,Yes,Yes,Executive,37.0,12.0,3.0,3.0,5.0,2.0,0.0,17073.0
101,No,Self Enquiry,Tier-1,Salaried,Male,Multi,5 Star,Single,No,No,Executive,32.0,6.0,3.0,3.0,2.0,2.0,2.0,17956.0
102,Yes,Company Invited,Tier-1,Salaried,Female,Multi,3 Star,Single,Yes,Yes,Executive,20.0,12.0,3.0,4.0,2.0,2.0,1.0,17926.0
103,No,Self Enquiry,Tier-1,Salaried,Female,Super Deluxe,3 Star,Single,No,Yes,Manager,34.0,14.624172639854365,2.0,3.0,2.0,3.0,0.0,19809.0
104,No,Company Invited,Tier-1,Salaried,Male,Super Deluxe,3 Star,Married,No,No,Manager,37.0,8.0,3.0,4.0,6.0,2.0,1.0,20163.0
105,No,Company Invited,Tier-2,Salaried,Female,King,3 Star,Divorced,No,Yes,VP,59.0,8.0,2.0,4.0,1.0,2.0,1.0,33844.0
106,No,Company Invited,Tier-1,Salaried,Female,King,4 Star,Divorced,Yes,No,VP,50.0,6.0,3.0,3.0,4.0,2.0,2.0,33172.0
107,Yes,Self Enquiry,Tier-3,Small Business,Male,Super Deluxe,3 Star,Single,Yes,Yes,Manager,25.0,11.0,2.0,4.0,2.0,3.0,0.0,20744.0
108,No,Self Enquiry,Tier-1,Small Business,Male,Multi,3 Star,Divorced,No,Yes,Executive,25.0,13.0,3.0,4.0,2.0,2.0,2.0,17889.0
109,No,Self Enquiry,Tier-1,Small Business,Female,Multi,3 Star,Single,No,Yes,Executive,22.0,21.0,2.0,3.0,2.0,2.0,1.0,17871.0
110,No,Company Invited,Tier-1,Small Business,Female,Standard,5 Star,Unmarried,No,Yes,Senior Manager,51.0,6.0,1.0,4.0,4.0,2.0,0.0,22484.0
111,Yes,Company Invited,Tier-1,Salaried,Male,Super Deluxe,3 Star,Single,Yes,Yes,Manager,34.0,13.0,3.0,5.0,2.0,5.0,1.0,21074.0
112,No,Company Invited,Tier-2,Salaried,Female,Deluxe,3 Star,Single,Yes,Yes,AVP,54.0,32.0,1.0,2.0,3.0,3.0,0.0,32328.0
113,No,Self Enquiry,Tier-1,Salaried,Male,Multi,3 Star,Divorced,No,Yes,Executive,24.0,24.0,2.0,3.0,1.0,4.0,0.0,17774.0
114,No,Self Enquiry,Tier-1,Salaried,Female,Super Deluxe,4 Star,Married,No,No,Manager,34.0,14.64075250779743,2.0,4.0,7.0,3.0,1.0,19505.0
115,No,Self Enquiry,Tier-3,Salaried,Male,Standard,3 Star,Unmarried,No,No,Senior Manager,37.0,9.0,2.0,3.0,3.0,3.0,0.0,22428.0
116,No,Self Enquiry,Tier-1,Small Business,Female,Standard,5 Star,Unmarried,No,No,Senior Manager,34.0,11.0,2.0,4.0,3.0,2.0,0.0,26631.0
117,No,Company Invited,Tier-3,Large Business,Female,Standard,3 Star,Divorced,No,No,Senior Manager,36.0,17.0,3.0,3.0,1.0,5.0,0.0,24738.0
118,No,Self Enquiry,Tier-1,Salaried,Female,Multi,3 Star,Married,No,Yes,Executive,36.0,9.0,2.0,3.0,6.0,2.0,0.0,17835.0
119,No,Company Invited,Tier-3,Salaried,Male,Deluxe,3 Star,Divorced,Yes,No,AVP,43.0,32.0,3.0,3.0,2.0,2.0,0.0,31959.0
120,No,Company Invited,Tier-1,Salaried,Male,Multi,3 Star,Married,No,Yes,Executive,30.0,29.0,3.0,5.0,2.0,3.0,2.0,17613.0
121,No,Company Invited,Tier-3,Small Business,Male,Super Deluxe,4 Star,Divorced,No,No,Manager,33.0,28.0,3.0,3.0,1.0,2.0,1.0,21146.0
122,Yes,Self Enquiry,Tier-1,Salaried,Female,Multi,4 Star,Divorced,Yes,Yes,Executive,56.0,20.0,3.0,3.0,1.0,5.0,1.0,19963.0
123,No,Self Enquiry,Tier-1,Salaried,Male,King,3 Star,Single,No,Yes,VP,51.0,12.0,2.0,3.0,1.0,5.0,0.0,34537.0
124,Yes,Self Enquiry,Tier-3,Salaried,Male,Super Deluxe,3 Star,Divorced,Yes,Yes,Manager,31.0,12.0,3.0,5.0,5.0,3.0,1.0,21172.0
125,No,Self Enquiry,Tier-1,Salaried,Female,Multi,4 Star,Divorced,No,Yes,Executive,26.0,12.0,2.0,4.0,2.0,3.0,0.0,17368.0
126,Yes,Self Enquiry,Tier-1,Small Business,Female,Standard,3 Star,Divorced,No,Yes,Senior Manager,58.0,29.0,3.0,3.0,2.0,3.0,0.0,25312.0
127,Yes,Self Enquiry,Tier-3,Small Business,Male,Multi,3 Star,Single,Yes,No,Executive,19.0,28.0,2.0,3.0,2.0,2.0,1.0,16675.0
128,No,Self Enquiry,Tier-1,Large Business,Male,Multi,3 Star,Divorced,No,Yes,Executive,22.0,8.0,3.0,3.0,1.0,5.0,2.0,17523.0
129,No,Self Enquiry,Tier-1,Small Business,Female,Super Deluxe,5 Star,Divorced,No,Yes,Manager,49.0,26.0,3.0,3.0,2.0,2.0,2.0,21567.0
130,No,Company Invited,Tier-1,Small Business,Female,Multi,3 Star,Single,No,No,Executive,43.0,14.638187848695253,3.0,2.0,5.0,3.0,2.0,19739.0
131,No,Company Invited,Tier-3,Small Business,Female,Standard,3 Star,Unmarried,No,No,Senior Manager,50.0,18.0,3.0,3.0,5.0,5.0,0.0,24208.0
132,Yes,Self Enquiry,Tier-3,Salaried,Female,Super Deluxe,3 Star,Divorced,Yes,Yes,Manager,31.0,14.646387095252393,3.0,5.0,4.0,3.0,0.0,19559.0
133,No,Self Enquiry,Tier-3,Salaried,Male,Standard,3 Star,Married,Yes,No,Senior Manager,41.0,15.0,3.0,3.0,4.0,2.0,1.0,23189.0
134,No,Self Enquiry,Tier-2,Salaried,Female,Multi,3 Star,Divorced,No,Yes,Executive,26.0,31.0,3.0,3.0,2.0,4.0,0.0,17942.0
135,No,Self Enquiry,Tier-1,Small Business,Male,Super Deluxe,4 Star,Married,No,Yes,Manager,36.0,12.0,2.0,3.0,7.0,4.0,1.0,19941.0
136,Yes,Company Invited,Tier-1,Salaried,Male,Standard,3 Star,Unmarried,No,No,Senior Manager,51.0,14.0,2.0,5.0,3.0,2.0,1.0,25650.0
137,No,Self Enquiry,Tier-3,Salaried,Female,Super Deluxe,3 Star,Divorced,No,Yes,Manager,39.0,10.0,2.0,4.0,5.0,5.0,0.0,20902.0
138,No,Self Enquiry,Tier-3,Salaried,Male,Super Deluxe,3 Star,Divorced,No,No,Manager,25.0,34.0,2.0,4.0,3.0,4.0,0.0,23639.0
139,No,Self Enquiry,Tier-2,Salaried,Male,Super Deluxe,3 Star,Divorced,Yes,Yes,Manager,30.0,15.0,2.0,3.0,1.0,3.0,1.0,21347.0
140,Yes,Self Enquiry,Tier-1,Small Business,Female,Multi,5 Star,Single,No,Yes,Executive,35.55769381306645,15.0,2.0,3.0,1.0,4.0,1.0,20994.83292035252
141,No,Self Enquiry,Tier-1,Small Business,Male,Multi,3 Star,Single,No,Yes,Executive,37.52954482357745,35.0,2.0,3.0,6.0,2.0,0.0,18452.0
142,No,Self Enquiry,Tier-1,Large Business,Female,Super Deluxe,3 Star,Single,Yes,No,Manager,38.0,9.0,2.0,3.0,4.0,5.0,0.0,1000.0
143,No,Self Enquiry,Tier-1,Salaried,Female,Multi,3 Star,Single,No,Yes,Executive,30.0,24.0,3.0,3.0,2.0,2.0,0.0,17632.0
144,No,Company Invited,Tier-3,Small Business,Male,Super Deluxe,3 Star,Married,No,No,Manager,32.0,14.647193945304167,2.0,5.0,1.0,2.0,1.0,19668.0
145,No,Self Enquiry,Tier-1,Large Business,Female,Multi,5 Star,Married,No,Yes,Executive,30.0,11.0,2.0,3.0,6.0,5.0,1.0,18204.0
146,No,Self Enquiry,Tier-1,Small Business,Male,Multi,3 Star,Single,No,No,Executive,30.0,8.0,2.0,4.0,1.0,4.0,0.0,17720.0
147,No,Company Invited,Tier-1,Salaried,Male,Deluxe,5 Star,Married,No,Yes,AVP,41.0,16.0,3.0,4.0,5.0,2.0,0.0,32181.0
148,No,Self Enquiry,Tier-1,Salaried,Male,Multi,5 Star,Divorced,No,No,Executive,41.0,15.0,3.0,3.0,3.0,2.0,2.0,17238.0
149,No,Self Enquiry,Tier-1,Small Business,Female,Multi,4 Star,Single,No,Yes,Executive,19.0,9.0,3.0,3.0,2.0,3.0,2.0,16483.0
150,No,Company Invited,Tier-1,Small Business,Female,Super Deluxe,4 Star,Married,No,Yes,Manager,40.0,32.0,2.0,3.0,2.0,2.0,0.0,20605.0
151,No,Self Enquiry,Tier-3,Small Business,Male,Standard,4 Star,Divorced,No,Yes,Senior Manager,35.0,6.0,3.0,3.0,2.0,4.0,2.0,22295.0
152,No,Self Enquiry,Tier-3,Small Business,Male,Super Deluxe,3 Star,Divorced,Yes,No,Manager,53.0,12.0,2.0,3.0,3.0,5.0,0.0,17306.0
153,No,Self Enquiry,Tier-1,Salaried,Male,Super Deluxe,4 Star,Married,No,Yes,Manager,45.0,15.0,2.0,3.0,1.0,4.0,0.0,17348.0
154,No,Company Invited,Tier-3,Small Business,Female,Standard,3 Star,Unmarried,No,Yes,Senior Manager,32.0,14.0,2.0,3.0,2.0,4.0,1.0,23998.0
155,No,Company Invited,Tier-1,Large Business,Male,Super Deluxe,3 Star,Divorced,No,No,Manager,29.0,14.672271812796069,2.0,3.0,2.0,3.0,1.0,19150.973866846907
156,No,Self Enquiry,Tier-1,Small Business,Male,Super Deluxe,3 Star,Divorced,No,Yes,Manager,51.0,13.0,2.0,4.0,3.0,3.0,1.0,21132.0
157,No,Self Enquiry,Tier-1,Small Business,Female,Multi,4 Star,Divorced,Yes,Yes,Executive,58.0,15.0,3.0,4.0,5.0,2.0,0.0,18346.0
158,No,Self Enquiry,Tier-3,Small Business,Male,Standard,3 Star,Divorced,No,Yes,Senior Manager,40.0,10.0,3.0,4.0,1.0,2.0,0.0,25855.0
159,No,Company Invited,Tier-3,Small Business,Female,Multi,3 Star,Divorced,No,Yes,Executive,34.0,8.0,3.0,3.0,7.0,5.0,2.0,17231.0
160,No,Self Enquiry,Tier-1,Small Business,Male,Multi,3 Star,Divorced,No,No,Executive,22.0,25.0,3.0,3.0,2.0,2.0,1.0,17323.0
161,No,Company Invited,Tier-1,Small Business,Male,Multi,4 Star,Married,No,No,Executive,27.0,15.0,2.0,3.0,7.0,3.0,0.0,17024.0
